Column1,link,text,date,NoOfComments,NoOfRetweets,NoOfQuotes,NoOfLikes,LinkToPicture
131,https://twitter.com/RONBupdates/status/1747625791427317837#m,"???? ??? ??????????? ???? ?????  ? ?????? ????? ???? ????? ??? ?????,  ?????? ???? ??? ?????? ?????? ????????, ???? ??? ???????? ?????? ?????? ????, ????? ??????? ????????, ????? ??????? ??? ?????,  ???? ??? ????????? ??? ?????????  ? ??????? ??????? ????? ?????????, ?????? ?????? ???? ?? ""??????? ? ?????"" ?? ?????? ???, ?????? ?????? message box ?  Timeline ?? ""congratulations""?? ?????? ???, ??","Jan 17, 2024 · 2:23 PM UTC",1,23,3,207,['https://pbs.twimg.com/media/GEDQY0oWkAEja08.jpg']
132,https://twitter.com/RONBupdates/status/1747610135252627962#m,"??????? ???? ????????????? ?????? ?????? ???? : A model of Nepali Village i.e Kodari has been made in Walhalla, Australia for an upcoming Netflix Movie Ice Road 2 with star action Liam Neeson in it. ??????  Pic. Walhalla's Star hotel","Jan 17, 2024 · 1:21 PM UTC",4,19,9,260,"['https://pbs.twimg.com/media/GEDCJjsaUAARIS-.jpg', 'https://pbs.twimg.com/media/GEDCJjraYAEUW4r.jpg', 'https://pbs.twimg.com/media/GEDCJjtakAAHiqs.jpg']"
133,https://twitter.com/RONBupdates/status/1747594413906461086#m,"??? ??? ??? ?? ??-??: Golden Hour & Beautiful Sunset view as seen from Tulsipur, Dang. ??  Pic. Santosh Thapa Magar","Jan 17, 2024 · 12:19 PM UTC",2,1,0,115,['https://pbs.twimg.com/media/GECz2nna0AAn3Ox.jpg']
134,https://twitter.com/RONBupdates/status/1747581939941548143#m,??????? ?????? ???????? ??? ??????? ?? ?? ??? ???? ??? ?????? ???? ? ? ??  Pic. Samir Lamichhane,"Jan 17, 2024 · 11:29 AM UTC",12,32,1,2001,['https://pbs.twimg.com/media/GECogf1bgAAdSQE.jpg']
135,https://twitter.com/RONBupdates/status/1747570164571521250#m,"?????? ?????????? ???????? ?????? ""?????-??"" ????? ?? ????? ???? ????????? ????? ?? ??? ????????? ???????? ?????? ????? ??","Jan 17, 2024 · 10:42 AM UTC",4,2,3,124,[]
136,https://twitter.com/RONBupdates/status/1747540422975734163#m,Winter Vibe: ???? ? ???? ???? ??????? ?? ?? ????????? ????? ?????? ????? ??  Pic. Vivek Chaudhary,"Jan 17, 2024 · 8:44 AM UTC",1,3,1,210,['https://pbs.twimg.com/media/GECCv8Wa8AA1_TP.jpg']
137,https://twitter.com/RONBupdates/status/1747528012969718117#m,?????? ????? ???? ??????: ??????? brand ?? ??????? ???? brand ?? ????? ??????? ??? ?????? seal ? ?????? ?????? ????? ?????? ????? ?????? ? ?????? ???????? ????????? ??? ?????? ????? ? ?   Pic. anzaankc_,"Jan 17, 2024 · 7:55 AM UTC",0,0,0,38,['https://pbs.twimg.com/media/GEB3diDbkAAqTvC.jpg']
138,https://twitter.com/RONBupdates/status/1747523500510990768#m,Alert: ??????? ?????????? ?????  ???????? ????????? ?????? ????? ???? ?????? ????? ??????? ??????? ??????? ????? ??? ?????? ????? ????? ??  File Pic. Binay Rawal,"Jan 17, 2024 · 7:37 AM UTC",2,4,0,175,['https://pbs.twimg.com/media/GEBzW7xaQAAnlJd.jpg']
139,https://twitter.com/RONBupdates/status/1747510284535926793#m,Happy Birthday to Legendary Mountaineer Kami Rita Sherpa who has Climbed Mt. Everest 28 times. He has also climbed 8000m+ peaks 40+ times.??#LivingLegend,"Jan 17, 2024 · 6:44 AM UTC",4,13,2,243,['https://pbs.twimg.com/media/GEBnVldXcAAQed8.jpg']
140,https://twitter.com/RONBupdates/status/1747483397155696931#m,"???? ????????? ???: Around 91,000 Pilgrims visited Pathivara temple in Taplejung in the last 6 months. ??  Pic. Rajendra Malla","Jan 17, 2024 · 4:58 AM UTC",5,26,1,1043,['https://pbs.twimg.com/media/GEBO4m1XUAATQX5.jpg']
141,https://twitter.com/RONBupdates/status/1747462742733393945#m,??????? ????? ??????: Three Nepali youths with aim to travel around the world on their Cycle have reached Singapore carrying the National Flag. They started their journey around 2 months ago with the aim to promote Nepal's tourism and have already travelled to 8 different countries. ??????,"Jan 17, 2024 · 3:35 AM UTC",2,6,0,108,['https://pbs.twimg.com/media/GEA8GQrWsAABRRu.jpg']
142,https://twitter.com/RONBupdates/status/1747461258780291528#m,"Achievement: Team Urja from Kathmandu University leaves for Coimbatore, India to take part in Formula Bharat 2024 and is the only team from Nepal in the competition. ?????? #bestwishes","Jan 17, 2024 · 3:30 AM UTC",0,2,0,79,['https://pbs.twimg.com/media/GEA6v5cWgAAD0xl.jpg']
143,https://twitter.com/RONBupdates/status/1747460698777805243#m,???????? ????? ??????? ??? ???? ????????: Popular Content Creator Nuseir Yassin aka NasDaily was in Nepal to learn about Buddhism by visiting the birth place of Lord Buddha as he starts his religious study & he will share stories soon. ??,"Jan 17, 2024 · 3:27 AM UTC",8,39,2,710,['https://pbs.twimg.com/media/GEA6PVWWMAAhc5-.jpg']
