Column1,link,text,date,NoOfComments,NoOfRetweets,NoOfQuotes,NoOfLikes,LinkToPicture
184,https://twitter.com/RONBupdates/status/1746762521837756825#m,"Maghe Sankranti Special: ????, ????, ????? ?????, ???? ??????? ?????? ????? ??? ???? ???? ???!  ?????? ???? ???? ? ?  ????  Pic. Niraj Patel (??????)","Jan 15, 2024 · 5:13 AM UTC",3,10,1,143,['https://pbs.twimg.com/media/GD2_QCNW8AA4E86.jpg']
185,https://twitter.com/RONBupdates/status/1746736512400855085#m,"????? ????? ???? ???? ????????? ????? ?????: Mahabir Pun has sold around 25,000 copies of his book based on his life story which is worth around NRs. 1.87 crores. ??????","Jan 15, 2024 · 3:30 AM UTC",5,20,2,501,['https://pbs.twimg.com/media/GD2nmJpXoAAYABR.jpg']
186,https://twitter.com/RONBupdates/status/1746732458434068793#m,Popular Vlogger Rajkumar Thapa Magar has completed 1 million subscribers in his YouTube channel. Lets hope he inspires his youth audience to ride more safely and enjoy life.,"Jan 15, 2024 · 3:14 AM UTC",19,1,0,172,['https://pbs.twimg.com/media/GD2j6NXXIAAPAnU.jpg']
187,https://twitter.com/RONBupdates/status/1746729002226843938#m,??????? ?????? ?? ?????? ??????: Menuka Poudel impressed Kishore Kumar's Son with her singing in recent episode of Indian Idol & also got standing Ovation. Now she needs support from Audience to do well. #GoodLuck,"Jan 15, 2024 · 3:00 AM UTC",2,6,1,174,['https://pbs.twimg.com/media/GD2gxA5WEAA_N3P.jpg']
188,https://twitter.com/RONBupdates/status/1746724927083053155#m,Tribhuvan University le online payment sahit ko system lyayera Transcript ra Marksheet pani hulak (?????) bata ghar mai pathaune planning gareko cha. ???? ??,"Jan 15, 2024 · 2:44 AM UTC",19,10,10,356,['https://pbs.twimg.com/media/GD2dDw7WQAADDGG.jpg']
189,https://twitter.com/RONBupdates/status/1746719305201491972#m,Happy ???????? ???? ?? New Year of all Kirati People. ??????  Pic. Pratit Chamling Rai,"Jan 15, 2024 · 2:21 AM UTC",3,10,1,226,['https://pbs.twimg.com/media/GD2X8eqbEAAjKnH.jpg']
190,https://twitter.com/RONBupdates/status/1746718653507371072#m,Real Madrid wins Spanish Super Cup title after winning the final with Barcelona by 4-1 goalscore. Vinicius Jr. scored a hattrick in front of C. Ronaldo. #Congratulations,"Jan 15, 2024 · 2:19 AM UTC",6,3,1,119,['https://pbs.twimg.com/media/GD2XWpra8AAeQHj.jpg']
191,https://twitter.com/RONBupdates/status/1746717806241230981#m,Happy Maghe Sankranti to all. ???? #Magh1,"Jan 15, 2024 · 2:15 AM UTC",3,34,4,422,['https://pbs.twimg.com/media/GD2WlU_WIAAsYBw.jpg']
192,https://twitter.com/RONBupdates/status/1746568796226412944#m,????? ???????? ????? ??????? ????? ??? ????? ???????? ????? ??????? ????? ????? ????????? ??????? ????? ???? ????? ???? ????? ?????? ????? ??? ????????,"Jan 14, 2024 · 4:23 PM UTC",2,13,1,105,[]
193,https://twitter.com/RONBupdates/status/1746561884877402190#m,"??? ????? ???? ? ? ???? ????????... Amazing view as seen from Poon Hill, Myagdi at around 2 AM. ??  Pic. Srijan Basnet","Jan 14, 2024 · 3:56 PM UTC",3,11,0,357,['https://pbs.twimg.com/media/GD0IxjibgAAIIbf.jpg']
194,https://twitter.com/RONBupdates/status/1746555967591059644#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 14, 2024 · 3:32 PM UTC",1,0,0,40,['https://pbs.twimg.com/media/GD0DZEkbgAAquIO.jpg']
195,https://twitter.com/RONBupdates/status/1746543856672550980#m,?????? ????? ?????? ??????? ???????????????? ?????: Inspector 181 Batch has donated NRs. 1.02 Lakhs to the Police Sipahi Aayushma Pun Magar for her Liver transplant.,"Jan 14, 2024 · 2:44 PM UTC",1,0,0,161,['https://pbs.twimg.com/media/GDz4YITbIAAGyIc.jpg']
196,https://twitter.com/RONBupdates/status/1746536052100387068#m,This perfect photo by Italian photographer Valerio Minato got special Mention from NASA's APOD for great timing & hard work. It took 6 years for the photographer to take this perfect photo. ??  Pic. @valeriominato,"Jan 14, 2024 · 2:13 PM UTC",2,10,0,389,['https://pbs.twimg.com/media/GDzxReOaAAACpIN.jpg']
197,https://twitter.com/RONBupdates/status/1746529418858955081#m,Stay Safe: ????????? ????? ??????????? ??? ?????? ?????? ?????? ??? ?????? ?? ??????? ??????? ?????????? ?????? ???? ?? ??  ????? ??? ?????? ??????? ??????? ???? ?,"Jan 14, 2024 · 1:47 PM UTC",2,3,0,51,[]
198,https://twitter.com/RONBupdates/status/1746512408368296394#m,El-Clasico in Final: Real Madrid & Barcelona are playing the Final of the Spanish Super Cup tonight. ??,"Jan 14, 2024 · 12:39 PM UTC",4,2,0,115,['https://pbs.twimg.com/media/GDzbxlfbQAAtsi4.jpg']
199,https://twitter.com/RONBupdates/status/1746504880595018131#m,"Holiday Reminder: There will be Nationwide holiday tomorrow on the occasion of Maghe Sankranti/ Maghi Festival.   In Picture: People crowd in Ason area to buy Ghiu, Chaku, Kandamul.","Jan 14, 2024 · 12:09 PM UTC",0,2,0,145,['https://pbs.twimg.com/media/GDzU7VnakAAZ5wT.jpg']
200,https://twitter.com/RONBupdates/status/1746488322044936507#m,????? ?? ???? ??? ???? ??????????? ??: Mt. Machhapuchhre. ????  Pic. Sujanriaan,"Jan 14, 2024 · 11:03 AM UTC",2,3,0,131,['https://pbs.twimg.com/media/GDzF3o5aQAA3m8W.jpg']
201,https://twitter.com/RONBupdates/status/1746479064888877321#m,Amazing Wheat Chawali art of Yama Buddha. ??#MissingYou   Art. @charliebaniya,"Jan 14, 2024 · 10:27 AM UTC",2,7,2,118,['https://pbs.twimg.com/media/GDy9cqka8AAfQWN.jpg']
202,https://twitter.com/RONBupdates/status/1746468804597854358#m,People buying Tarul & Chaku in Kathmandu on the occasion of Magh Sankranti. ?? ?????? ?????? ??? ? ?  Pic. NPL,"Jan 14, 2024 · 9:46 AM UTC",2,0,0,72,['https://pbs.twimg.com/media/GDy0HfwaoAAhyDf.jpg']
203,https://twitter.com/RONBupdates/status/1746461284793749620#m,Please take care: ??????? ?????? ?????? ????????? ????? ?? ??????? ??????? ?????? ???? ?? ??,"Jan 14, 2024 · 9:16 AM UTC",0,0,0,50,[]
204,https://twitter.com/RONBupdates/status/1746442755201753502#m,Huge crowd to taste Bhakka: ????????? ?????? ?????? ??????????? ?????? ??? ??  Pic. Tikaram Bastola,"Jan 14, 2024 · 8:02 AM UTC",1,3,0,179,['https://pbs.twimg.com/media/GDycbOjboAATVsq.jpg']
205,https://twitter.com/RONBupdates/status/1746433163960950919#m,"Important: Muglin-Narayangarh road will be closed from today until Magh 20, daily from 12 PM to 4 PM. #Roadwork","Jan 14, 2024 · 7:24 AM UTC",0,2,0,95,['https://pbs.twimg.com/media/GDyTs1gWQAAoP3l.jpg']
206,https://twitter.com/RONBupdates/status/1746420840475062445#m,"??? ???? ??? ??? ????? ???? ?: Popular Rapper Uniq Poet has released a song ""Suryodaya"" in memory of Late Prem Acharya who lost his life due to helplessness & frustration. ???????? ????? ???????? ?????????? ???? ?????? ?????????? ???? ?? ??? ??? ???? ????? ????????? ????? ???? ???? ????????? ??? ?","Jan 14, 2024 · 6:35 AM UTC",2,13,1,195,['https://pbs.twimg.com/media/GDyIfj7XsAAEsLl.jpg']
207,https://twitter.com/RONBupdates/status/1746404956972716141#m,"????????? ??? ?? : Youths of Aruchaur playing Dandibio, spending their winter vacation. ??  Pic: ???? ?????","Jan 14, 2024 · 5:32 AM UTC",5,12,1,326,['https://pbs.twimg.com/media/GDx6DBLXoAAZ4To.jpg']
208,https://twitter.com/RONBupdates/status/1746387256280236258#m,"?????? ?????: ""?????? ???? ?? ? ? ? ?? ???? ?????? ?? ???? ?"" Rest In Peace Yama Buddha. ?? #Missing #DeathAnniversary   Art by. Gobinda Thakuri","Jan 14, 2024 · 4:22 AM UTC",4,5,0,129,['https://pbs.twimg.com/media/GDxp8skXAAABdpF.jpg']
209,https://twitter.com/RONBupdates/status/1746384869998096490#m,"?????? ?????: ""?????? ???? ?? ? ? ? ?? ???? ?????? ?? ???? ?"" Rest In Peace Yama Buddha. ?? #Missing #DeathAnniversary   Art by. Gobinda Thakuri","Jan 14, 2024 · 4:12 AM UTC",10,24,2,314,['https://pbs.twimg.com/media/GDxnx6qaUAAJjYi.jpg']
210,https://twitter.com/RONBupdates/status/1746378865164103826#m,Big Achievement by doctors: ??????? ????? ??? ? ?????? ?????? ????? ??????????? (Liver Transplant) ??????????? ?????? ? ? Congratulations to all the doctors and support staffs of Shahid Dharmabhakta National Transplant Centre in Bhaktapur.??  Pic. Kripesh Poudel,"Jan 14, 2024 · 3:49 AM UTC",6,18,1,409,['https://pbs.twimg.com/media/GDxiUO3WUAAAnZR.jpg']
211,https://twitter.com/RONBupdates/status/1746368389713723631#m,"???? ??? ???????? ???: ??? ???? ???????????? ?????? ???? ?? ????????? ?? ???????? ????? ?? ????? ?????? ???? ???? ??????? ??? ????? ????? ????? ??? ???? ???? ???????????? ????????? ??????? ?????? ??????? ??? ????? ???? ????? ?? ??????????? ????? ?? ?????? ?? ???????? ??? ????? ???????? ????? ??????? ??? ????? ????? ???? ??? ???? ??? ??? ??? ?????? ????? ????? ???? ???????? ???? ?? ?? ????? ????????, ?????? ???? ???? ???? ???? ??? ??? ??????? ??? ? ?????? ?? ???? ???? ????? ????","Jan 14, 2024 · 3:07 AM UTC",12,16,1,449,['https://pbs.twimg.com/media/GDxYyiIWwAAxqkh.jpg']
212,https://twitter.com/RONBupdates/status/1746367360410468612#m,2080 BS ma ahile samma 47 ota Sarkari Engineer mathi Bhrastachar (??????????) ko Case pareko cha vane 29 jana Sarkari accountant mathi pani mudda pareko cha.  Source: CIAA Report,"Jan 14, 2024 · 3:03 AM UTC",1,6,1,124,['https://pbs.twimg.com/media/GDxX2qpW4AAZ6Le.jpg']
213,https://twitter.com/RONBupdates/status/1746365264575484226#m,????? ????? ???? ????????: Popular Vlogger 'Go With Ali' gifts a buffalo worth 1 lakh to a Nepali village family near Pokhara after getting impressed with how he was treated there with love & respect. Ali wanted to gift it for small kid in the family. ??????,"Jan 14, 2024 · 2:54 AM UTC",2,1,0,139,['https://pbs.twimg.com/media/GDxV8rdWEAAvFAq.jpg']
214,https://twitter.com/RONBupdates/status/1746358986327416931#m,?? ????? ????: Happy National Bhakka Day to all. Bhakka is a traditional rice flour dish famous in eastern Terai. ???????? ??????  Pic. Bijay Rajbanshi,"Jan 14, 2024 · 2:30 AM UTC",5,5,3,156,['https://pbs.twimg.com/media/GDxQPL-WkAArB33.jpg']
215,https://twitter.com/RONBupdates/status/1746348955041218644#m,"??? ?????? ?????? ?????: Nepali U-19 team enjoying and dancing on trending songs like ""Jamal Kudu"" during ICC Media Day before the start of U-19 Men's Cricket World cup.","Jan 14, 2024 · 1:50 AM UTC",1,5,0,204,['https://pbs.twimg.com/media/GDxHHaoWkAE9n8l.jpg']
216,https://twitter.com/RONBupdates/status/1746346458318864472#m,"?? ??????? ????: Sunday Morning & Statue of Pathivara Mata at Nallu, Lalitpur. ????    Pic. @therezonmanandhar","Jan 14, 2024 · 1:40 AM UTC",2,22,0,1016,['https://pbs.twimg.com/media/GDxE17AWMAEwpSx.jpg']
217,https://twitter.com/RONBupdates/status/1746207447537328365#m,????? ??? ?????????? ???? ???? ???? ??? ? ?????? ???? ???? ????? ???? ????? ??? ???? ????,"Jan 13, 2024 · 4:27 PM UTC",3,8,2,118,[]
218,https://twitter.com/RONBupdates/status/1746201894874399224#m,Nepal wins the match with Scotland by 7 wickets (DLS Method) in the warm up match before ICC Men's U-19 World Cup. ?????? #Congrats,"Jan 13, 2024 · 4:05 PM UTC",4,3,0,246,['https://pbs.twimg.com/media/GDvBXWNa8AAZUPi.jpg']
219,https://twitter.com/RONBupdates/status/1746192210696208560#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 13, 2024 · 3:27 PM UTC",0,1,0,44,['https://pbs.twimg.com/media/GDu4jmaa4AEe560.jpg']
220,https://twitter.com/RONBupdates/status/1746185978585510228#m,"????? ???? ?????? ?????-?????? ???? ? ??? ?? ??, ??????? ???? ????? ???  ????????? ????? ?? ? ???? ?????? ? ???  ??????????? ??, ??  Pic. prekshyastudio (View from High Camp Annapurna)","Jan 13, 2024 · 3:02 PM UTC",2,6,0,143,['https://pbs.twimg.com/media/GDuy46Va8AAd9Yt.jpg']
221,https://twitter.com/RONBupdates/status/1746180361854595246#m,"??? ?? ?????: More than 20 people have died in last 24 hours due to road accidents at different places of Nepal i.e. Dang, Baglung, Kathmandu etc.  Pic. Kuldip Neupane/ RSS","Jan 13, 2024 · 2:40 PM UTC",10,13,4,164,['https://pbs.twimg.com/media/GDutxwhb0AA2Rbo.jpg']
222,https://twitter.com/RONBupdates/status/1746170669690388779#m,Australia wins the match with India by 2-0 goal score in ongoing AFC Asian Cup. Jordan Bos scores his first Int'l goal for Australia. ?? #Congrats,"Jan 13, 2024 · 2:01 PM UTC",2,1,0,95,['https://pbs.twimg.com/media/GDuk9x8a8AAHwW6.jpg']
223,https://twitter.com/RONBupdates/status/1746157869601538241#m,?????? ?????? ???????????? ???? ??? ??? ????????? ????????????? ???? ????? ??? ? ??#StayWarm  Representative File Pic. Amit Machamasi,"Jan 13, 2024 · 1:10 PM UTC",11,7,0,373,['https://pbs.twimg.com/media/GDuZUqSbkAAMZbY.jpg']
224,https://twitter.com/RONBupdates/status/1746142443781943428#m,Good News for Cricket Fans: Cricketer Dipendra Airee is back to the cricket ground after recovering from injury during T20 World Cup Asia Finals. He is playing PM Cup Cricket. ??????  File Pic.,"Jan 13, 2024 · 12:09 PM UTC",1,4,0,242,['https://pbs.twimg.com/media/GDuLS4BacAAxsGY.jpg']
225,https://twitter.com/RONBupdates/status/1746122858714271811#m,Back to back big accidents: Kathmandu bata Chitlang jane bato ma Car accident huda 5 jana ko death vayeko cha. ??  Source: Thankot Police,"Jan 13, 2024 · 10:51 AM UTC",3,1,2,108,[]
226,https://twitter.com/RONBupdates/status/1746078341520908293#m,Popular Content Creator 'NAS Daily' is in Nepal & he is planning something unique. Let's hope he brings something interesting. ?? #NasDaily,"Jan 13, 2024 · 7:54 AM UTC",10,12,2,397,['https://pbs.twimg.com/media/GDtQ_iAWIAAFrYY.jpg']
227,https://twitter.com/RONBupdates/status/1746072174006562926#m,??? ??????? ??? ??????: 2024 is the biggest year for Election around the world as more than 50 countries are holding elections including India & USA. Around 50% of world's population will have chance to take part in it.   Representative image.,"Jan 13, 2024 · 7:30 AM UTC",3,4,1,159,['https://pbs.twimg.com/media/GDtLYUFWwAAbrYP.jpg']
228,https://twitter.com/RONBupdates/status/1746043155923816687#m,"Sad fact: Gautam Buddha International Airport which is built with billions of investment, is not generating good income as there are no regular international flights. Investors in the surrounding areas are also in a vulnerable situation.","Jan 13, 2024 · 5:35 AM UTC",17,8,10,264,['https://pbs.twimg.com/media/GDsw_U4bIAAKp17.jpg']
229,https://twitter.com/RONBupdates/status/1746032969217896938#m,"Wow... ""Kutu ma Kutu"" becomes the first Nepali Song to reach 200 Million Views on YouTube. ????","Jan 13, 2024 · 4:54 AM UTC",10,12,3,543,['https://pbs.twimg.com/media/GDsnuj7bkAApCxh.jpg']
230,https://twitter.com/RONBupdates/status/1746028388698169718#m,Wow... PM Cup Men's National Cricket Tournament 2024 is starting from today in 3 different grounds and CAN has announced free entry for everyone for the match. ??  Pic. Sajan Lamichhane/CAN,"Jan 13, 2024 · 4:36 AM UTC",1,5,0,138,['https://pbs.twimg.com/media/GDsjjzWXcAEPx0w.jpg']
231,https://twitter.com/RONBupdates/status/1746017180146147498#m,"????????? ???: Krishna from Gaidakot sells different cleaning items in his wheelchair. He started selling different items like corn, peanuts previously so that he can support himself and be independent. He is an inspiration for many specially abled people to use their capabilities to do something for themselves. ??  Pic & Story. Herne Katha","Jan 13, 2024 · 3:51 AM UTC",2,2,0,117,['https://pbs.twimg.com/media/GDsZXIQXcAA6A04.jpg']
232,https://twitter.com/RONBupdates/status/1746003086894837765#m,Wow... Nepal will get a chance to play with India & Pakistan again at the Asia Cup if it wins the ACC T20 Premier Cup which will be held at Oman in April. ??,"Jan 13, 2024 · 2:55 AM UTC",5,8,1,412,['https://pbs.twimg.com/media/GDsMjAAWIAAhjD5.jpg']
233,https://twitter.com/RONBupdates/status/1745990200394932374#m,Popular DJs Mattise & Sadko are in Nepal & are impressed by the locations. They have performed in Tomorrowland Music festival & also collaborated with World's No.1 DJ Martin Garrix multiple times. ??,"Jan 13, 2024 · 2:04 AM UTC",4,4,1,154,['https://pbs.twimg.com/media/GDsA0j7XUAEYCIN.jpg']
234,https://twitter.com/RONBupdates/status/1745989815982800993#m,"Saturday Morning & Statue of Kaal Bhairav at Basantapur area, Kathmandu. ????","Jan 13, 2024 · 2:03 AM UTC",1,36,2,1180,['https://pbs.twimg.com/media/GDsAedGW4AAom7R.jpg']
235,https://twitter.com/RONBupdates/status/1745862430339862934#m,Breaking: Binod Rai wins the title of Voice of Nepal Season 5. ?? #Congratulations,"Jan 12, 2024 · 5:36 PM UTC",13,2,2,169,['https://pbs.twimg.com/media/GDqMnfgWQAAbPq9.jpg']
236,https://twitter.com/RONBupdates/status/1745845398193754296#m,??????? ????????? ?????? ?????? ?? ?????????? ????????? ??????? ??????? ???????,"Jan 12, 2024 · 4:29 PM UTC",12,10,3,138,[]
237,https://twitter.com/RONBupdates/status/1745837955540013469#m,"???? ???? ??? ??, ??? ????? ??????? ?: Beautiful Night view at Ghunsa village, Taplejung. ??  Pic. sadish_____","Jan 12, 2024 · 3:59 PM UTC",1,2,0,106,['https://pbs.twimg.com/media/GDp2XSrX0AAtd2I.jpg']
238,https://twitter.com/RONBupdates/status/1745832157908750497#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 12, 2024 · 3:36 PM UTC",0,1,0,48,['https://pbs.twimg.com/media/GDpxFklWAAM26cl.jpg']
239,https://twitter.com/RONBupdates/status/1745827306629947666#m,Big Achievement: Kathmandu city becomes one of the World’s most Popular Nature Destination for 2024 in Tripadvisor Travelers’ choice awards. ??????  Pic. sauravsaus,"Jan 12, 2024 · 3:17 PM UTC",21,41,7,953,['https://pbs.twimg.com/media/GDpsq92XUAAu-bI.jpg']
240,https://twitter.com/RONBupdates/status/1745808034868449358#m,"?? ???? ????  ?????? ?????? ??? ? ????? ??????? ???? ???????,  ?? ????, ?? ???  ???? ?????? ?? ????? ? ???? ?? ?? ????? ????? ???????? ????? ?? ???.. ???????  Pic. surajphotography58","Jan 12, 2024 · 2:00 PM UTC",3,19,1,309,['https://pbs.twimg.com/media/GDpbJrGbIAArRc_.jpg']
241,https://twitter.com/RONBupdates/status/1745800119700627484#m,Farmers from Baglung have produced Oranges worth NRs. 20 Crores this year till now. ??,"Jan 12, 2024 · 1:29 PM UTC",6,4,0,186,['https://pbs.twimg.com/media/GDpT8y_WwAE9v0q.jpg']
242,https://twitter.com/RONBupdates/status/1745793953671307529#m,????????? ????? ?????? ???????????: People running & collecting waste items in Kathmandu Trash Collection Race 2024 where around 2000 people ran for 4 KM & collected around 350 KGs of Garbage. Organizer: KP Khanal's Team & MDF,"Jan 12, 2024 · 1:04 PM UTC",16,42,8,824,['https://pbs.twimg.com/media/GDpOWDCbwAAkOMb.jpg']
243,https://twitter.com/RONBupdates/status/1745780709682475353#m,?????? ???? ?????? ???? ???? ?????: Realistic Panting of Nepali Village with Annapurna Range in background. ??????   Pic. Jhalak KC,"Jan 12, 2024 · 12:12 PM UTC",4,16,0,274,['https://pbs.twimg.com/media/GDpCTHQaYAAWx6K.jpg']
244,https://twitter.com/RONBupdates/status/1745768187021693339#m,?????? ?????? ??? ?????? ????????? ??????? ???? ??? ?????? ??? ?? #Okhaldhunga   Pic. Ujwal Dhamala,"Jan 12, 2024 · 11:22 AM UTC",0,2,0,129,['https://pbs.twimg.com/media/GDo26CPbkAAbICe.jpg']
245,https://twitter.com/RONBupdates/status/1745750368473256354#m,"???? ???? ???? ??????  ??, ?? ???? ?????? ????? ????????: Sankha Daha Thakurjyu, Jumla ??????  Pic. Santosh Singh","Jan 12, 2024 · 10:11 AM UTC",0,9,0,215,['https://pbs.twimg.com/media/GDoms5mWUAAv9jV.jpg']
246,https://twitter.com/RONBupdates/status/1745713176312946955#m,Beautiful art of Zayn malik on the occasion of his birthday. ???? #HappyBirthday  Art by. Gobinda Thakuri,"Jan 12, 2024 · 7:43 AM UTC",3,2,0,68,['https://pbs.twimg.com/media/GDoE4KmXMAAzb_u.jpg']
247,https://twitter.com/RONBupdates/status/1745709321626038324#m,????????? ???? ???? ? ?????? ???????? ?????? ?????????? ????????? ????? ?????? ???? ???????????? ????? ??????? ???????? ????? ?????!   Pic. anzaankc_,"Jan 12, 2024 · 7:28 AM UTC",2,6,0,337,['https://pbs.twimg.com/media/GDoBXxSXwAAdiyB.jpg']
248,https://twitter.com/RONBupdates/status/1745668825193095428#m,???????? ?????? ??????? ??????: Recent fog has decreased visibility & road accident cases are increasing in highways. We request people to use proper lights while driving & Please drive slowly in own lane and be extra careful in residential areas & not to cross roads randomly. ??  Pic. Prasan Shrestha,"Jan 12, 2024 · 4:47 AM UTC",1,4,0,87,['https://pbs.twimg.com/media/GDnciszbgAAPk37.jpg']
249,https://twitter.com/RONBupdates/status/1745651676575650117#m,NEB ?? ????? ?? ?? SEE ??????? ?????? ? ???????? ??? ????????? ???????? ????? ????? ? ?,"Jan 12, 2024 · 3:39 AM UTC",1,0,0,73,['https://pbs.twimg.com/media/GDnM8UrWcAA7qQw.jpg']
250,https://twitter.com/RONBupdates/status/1745644028593623493#m,"'? ? ?????? ???? ??? ???? ???': ??????? ???????? ?????? ???? (?????? ??? )?? ????? ?? ???? ??? ???????????? ????? ?????? ??????? ?? ??? ????????? ?????????,????? ???? ???? ???? ?????? ???? ????? ??? ?????? ? ??? ?????? ????? ???? ??? ?? ???????? ????? ???????? ??? ????? ????? ????? ? ???? ???? ??? ?????? ? ????????? ?? ???? ? ???? ??????? , ???????? ???????? ????????,??? ???? ?????? ???? ?? ????? ??? ??????? ?? ????? ???????? ???? ???? ? ????????? ????? ???????? ??????? ?? ???? ? ??????? ??????? ???? ????? ??????? ???? ??? ???? ????????? ?????? ?????? ?? #StoriesofJajarkot","Jan 12, 2024 · 3:09 AM UTC",1,1,1,113,['https://pbs.twimg.com/media/GDnF-LTWUAIs27Q.jpg']
251,https://twitter.com/RONBupdates/status/1745643835395629261#m,????? ???? ????????: ???? ?????? ???? ?????? ???? ????? ????? ????? ?????????? ???????? ???? ?????? ????? ?????? ???? ??? ???? ?? ?????? ????? ????? ? ??????? ???? ???? ???? ????? ??? ?? ???? ???? ????? ? ?,"Jan 12, 2024 · 3:08 AM UTC",4,0,5,39,['https://pbs.twimg.com/media/GDnFzlTXoAA2jXQ.jpg']
252,https://twitter.com/RONBupdates/status/1745641568730821057#m,?????? ???????? ????? ?????: Nepal's passport is listed as 7th weakest in the world as it is placed at 98th out of 104 countries as per Henley Passport Index 2024.,"Jan 12, 2024 · 2:59 AM UTC",35,24,20,306,['https://pbs.twimg.com/media/GDnDwCyXMAAoSRI.jpg']
253,https://twitter.com/RONBupdates/status/1745640902931206637#m,Happy 302nd Prithivi Jayanti & National Unity Day 2080. ?????? #Unity  Pic. Niraj Patel (??????),"Jan 12, 2024 · 2:56 AM UTC",7,45,5,772,['https://pbs.twimg.com/media/GDnDGmaXkAAhG3Y.jpg']
254,https://twitter.com/RONBupdates/status/1745626657862660508#m,"?? ?????? ????? ??? ????: Friday morning & Statue of Hanuman Ji at Panchakot, Baglung????  Pic. Subhash Man Sangat","Jan 12, 2024 · 2:00 AM UTC",2,5,1,346,['https://pbs.twimg.com/media/GDm2MEdWIAAo7vG.jpg']
255,https://twitter.com/RONBupdates/status/1745482653854511150#m,"?????? ????????  ?????? ?? ????? ??? ?? ??????? ??? ????? ??? ????????? ??????,???? ?????? ????? ???? ?????????, ???? ??? ??????? ??????","Jan 11, 2024 · 4:27 PM UTC",0,2,0,49,[]
256,https://twitter.com/RONBupdates/status/1745478275840004371#m,"???? ??? ? ???????: Beautiful Night view of Lakeside area, Pokhara. ??  Pic. Nishan_Paudel14","Jan 11, 2024 · 4:10 PM UTC",0,10,0,195,['https://pbs.twimg.com/media/GDkvPJ9bEAANd0q.jpg']
257,https://twitter.com/RONBupdates/status/1745464822014349502#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 11, 2024 · 3:16 PM UTC",0,0,0,33,['https://pbs.twimg.com/media/GDki_71bMAECaA1.jpg']
258,https://twitter.com/RONBupdates/status/1745448117120766202#m,Craze for National Game: People enjoying the Final match of 34th Men's National Volleyball tournament in Surkhet. ??   Pic. Panch Dev Bhatta,"Jan 11, 2024 · 2:10 PM UTC",0,10,2,208,['https://pbs.twimg.com/media/GDkTzhyagAAewYw.jpg']
259,https://twitter.com/RONBupdates/status/1745425567623823612#m,"?????? ????? ??????? ???? ? ??? ???? ???????? ????????? ????? ???????: ????? ???? ????????? ???? ?????? ??? ?????, ???? ?????? ?? ??????? ???? ??? ???? ??? ????? ??????????? ???? ?????, ?????, ??????? ???? ?? ????????? ?????? ?????? ??? ?? ???? ???????? ????????? ???? ????? ???????? ???????? ???????? ?? ???? ? ????? ????? ??????? ?? ???? ?? ??? ?????? ?? ???? ?????? ????? ????? ? ???? ???? ??? ? ?? ???? ??????? ???? ??????? ?? ???? ???? ??????  ???? ????????? ??????? ?? ???? ?? ???? ??????? ??? ?????? ??????? ??????? ?? ???????? ?????, ???????? ?????????, ????? ?????, ????????? ????????? ????? ??? ?????? ? ??? ??????? ???? ??????? ?? ? ???? ???? ??? ?? ???? ???? ???? ?????? ??  Via. Lawcater","Jan 11, 2024 · 12:40 PM UTC",55,18,5,397,[]
260,https://twitter.com/RONBupdates/status/1745424367306387777#m,Popular Cricketer Steve Smith plays tennis with Legendary Novak Djokovic & impress him with his tennis skills during a charity match in Australia. ??,"Jan 11, 2024 · 12:36 PM UTC",1,1,0,108,['https://pbs.twimg.com/media/GDj-NQoXcAAe095.jpg']
261,https://twitter.com/RONBupdates/status/1745417051978764537#m,??????? ?????? ???????? ?% ????: Nepal economy is expected grow by 5% in 2024/25 as per World Bank report.   Pic. Binay Rawal,"Jan 11, 2024 · 12:07 PM UTC",2,8,0,131,['https://pbs.twimg.com/media/GDj3jZQXoAApO_j.jpg']
262,https://twitter.com/RONBupdates/status/1745399593960088030#m,???? ????????? ????: There will be a nationwide Public Holiday tomorrow on the occasion of Prithivi Jayanti (????????? ???? ????) as per Rajpatra. ??  Pic. Gobinda Thakuri,"Jan 11, 2024 · 10:57 AM UTC",5,32,2,666,['https://pbs.twimg.com/media/GDjnrKuXsAAuebz.jpg']
263,https://twitter.com/RONBupdates/status/1745391462949486770#m,?????? ???????? ????? ????? ' ?????? ??' ?? ?????? ?????? ????? ???????? ??????? ????? ???????? ????????? ???? ????????? ??? ?????? ? ?,"Jan 11, 2024 · 10:25 AM UTC",27,13,7,386,['https://pbs.twimg.com/media/GDjgR-dWMAAN7RG.jpg']
264,https://twitter.com/RONBupdates/status/1745366766992449615#m,???????? ??????????????? ????????? ??????? ????? ?????? ??????? ????? ??? ‘????-??’ ????? ???? ???????????? ????? ??????? ???? ???? ?????? ? ?   Pic. Nepal Photo Library,"Jan 11, 2024 · 8:47 AM UTC",2,4,0,116,"['https://pbs.twimg.com/media/GDjJ0DbXEAAmx7G.jpg', 'https://pbs.twimg.com/media/GDjJ0DcXUAA5qWz.jpg', 'https://pbs.twimg.com/media/GDjJ0DbWIAAaPmG.jpg', 'https://pbs.twimg.com/media/GDjJ0DTW4AAaqQL.jpg']"
